,expid,peakid,year,season,nation,bcdate,smtdate,smttime,o2used
0,ANN260101,ANN2,1960,1.0,UK,1960-03-15,1960-05-17,1530,1
1,ANN269301,ANN2,1969,3.0,Yugoslavia,1969-09-25,1969-10-22,1800,0
2,ANN273101,ANN2,1973,1.0,Japan,1973-03-16,1973-05-06,2030,0
3,ANN278301,ANN2,1978,3.0,UK,1978-09-08,1978-10-02,,0
4,ANN279301,ANN2,1979,3.0,UK,,1979-10-18,,0
5,ANN280101,ANN2,1980,1.0,Japan,1980-03-25,1980-04-24,,0
6,ANN280102,ANN2,1980,1.0,Poland,1980-04-09,1980-05-08,,0
7,ANN281302,ANN2,1981,3.0,Italy,1981-09-04,1981-09-23,,0
8,ANN281301,ANN2,1981,3.0,Japan,1981-09-04,1981-10-11,,0
9,ANN282301,ANN2,1982,3.0,Japan,1982-09-14,1982-10-04,,0
10,ANN283101,ANN2,1983,1.0,Austria,1983-04-11,1983-05-05,,0
11,ANN283301,ANN2,1983,3.0,Australia,1983-08-19,1983-10-08,1330,0
12,ANN283302,ANN2,1983,3.0,S Korea,1983-09-01,1983-10-08,,0
13,ANN283401,ANN2,1983,4.0,UK,1983-11-25,1983-12-11,,0
14,ANN284101,ANN2,1984,1.0,Japan,1984-03-13,1984-04-02,,0
15,ANN284301,ANN2,1984,3.0,Japan,1984-08-23,1984-09-03,,0
16,ANN285301,ANN2,1985,3.0,Japan,1985-09-07,1985-10-05,,0
17,ANN286102,ANN2,1986,1.0,Spain,1986-03-26,1986-04-30,,0
18,ANN286101,ANN2,1986,1.0,USA,1986-03-23,1986-05-04,,0
19,ANN287301,ANN2,1987,3.0,Japan,1987-09-15,1987-10-13,,0
20,ANN290301,ANN2,1990,3.0,USA,1990-09-22,1990-10-10,,0
21,ANN450201,ANN4,1950,2.0,UK,1950-06-04,1950-06-17,,0
22,ANN452301,ANN4,1952,3.0,Japan,,,,0
23,ANN453101,ANN4,1953,1.0,UK,,,,0
24,ANN453301,ANN4,1953,3.0,Japan,1953-10-21,,,0
25,ANN455101,ANN4,1955,1.0,W Germany,1955-05-13,1955-05-30,1730,0
26,ANN457101,ANN4,1957,1.0,UK,1957-04-16,1957-05-05,,0
27,ANN460101,ANN4,1960,1.0,UK,1960-03-15,1960-05-18,,0
28,ANN469301,ANN4,1969,3.0,Czechoslovakia,,1969-10-07,1430,0
29,ANN469302,ANN4,1969,3.0,Yugoslavia,1969-09-25,1969-10-21,,0
30,ANN470101,ANN4,1970,1.0,Japan,,1970-04-25,,0
31,ANN474101,ANN4,1974,1.0,W Germany,1974-03-20,1974-04-26,,0
32,ANN478101,ANN4,1978,1.0,S Korea,1978-04-07,1978-04-23,1550,0
33,ANN479301,ANN4,1979,3.0,Spain,1979-10-11,1979-10-25,,0
34,ANN480301,ANN4,1980,3.0,W Germany,1980-10-11,1980-10-23,,0
35,ANN481101,ANN4,1981,1.0,W Germany,1981-04-08,1981-04-25,,0
36,ANN481301,ANN4,1981,3.0,Italy,1981-09-04,1981-10-10,,0
37,ANN481401,ANN4,1981,4.0,Canada,1981-11-23,1981-12-22,1500,0
38,ANN483101,ANN4,1983,1.0,Japan,1983-04-02,1983-05-09,0900,0
39,ANN483301,ANN4,1983,3.0,Switzerland,1983-09-25,1983-10-07,1600,0
40,ANN484302,ANN4,1984,3.0,France,1984-09-29,1984-10-06,,0
41,ANN484301,ANN4,1984,3.0,Italy,1984-09-28,1984-10-06,,0
42,ANN485301,ANN4,1985,3.0,France,1985-10-05,1985-10-06,,0
43,ANN486101,ANN4,1986,1.0,Nepal,1986-04-08,1986-05-02,,0
44,ANN486301,ANN4,1986,3.0,France,1986-10-23,1986-11-07,,0
45,ANN487101,ANN4,1987,1.0,Austria,1987-04-08,1987-04-23,,0
46,ANN487302,ANN4,1987,3.0,USA,1987-09-29,1987-10-16,,0
47,ANN487301,ANN4,1987,3.0,USA,1987-09-16,1987-10-10,1515,0
48,ANN489301,ANN4,1989,3.0,S Korea,1989-08-21,1989-09-20,1130,0
49,ANN490301,ANN4,1990,3.0,France,1990-10-04,1990-10-13,,0
50,ANN490302,ANN4,1990,3.0,France,1990-10-17,1990-10-29,,0
51,ANN490303,ANN4,1990,3.0,Indonesia,1990-11-05,1990-11-14,1430,1
52,ANN491101,ANN4,1991,1.0,USA,1991-04-03,1991-04-19,,0
53,ANN491301,ANN4,1991,3.0,Japan,1991-08-27,1991-09-05,,0
54,ANN491302,ANN4,1991,3.0,S Korea,1991-09-09,1991-10-09,,0
55,ANN491303,ANN4,1991,3.0,Yugoslavia,1991-11-01,1991-11-15,,0
56,ANN492101,ANN4,1992,1.0,UK,1992-03-31,1992-05-05,,1
57,ANN492301,ANN4,1992,3.0,S Korea,1992-09-01,1992-09-21,1340,0
58,ANN492303,ANN4,1992,3.0,S Korea,1992-09-13,1992-09-23,1730,0
59,ANN492302,ANN4,1992,3.0,Spain,1992-09-04,1992-09-24,,0
60,ANN492304,ANN4,1992,3.0,Japan,1992-09-16,1992-10-02,,0
61,MAKA88101,MAKA,1988,1.0,France,1988-04-06,1988-04-27,0945,0
62,MAKA88103,MAKA,1988,1.0,W Germany,1988-04-13,1988-05-08,,0
63,MAKA88102,MAKA,1988,1.0,Italy,1988-04-07,1988-05-03,,0
64,KANG88101,KANG,1988,1.0,USA,1988-04-03,1988-05-03,0930,0
65,KANG88102,KANG,1988,1.0,Spain,1988-04-06,1988-05-20,,0
66,KANG88103,KANG,1988,1.0,India,1988-03-24,1988-04-15,,1
67,MAKA88104,MAKA,1988,1.0,Switzerland,,,,0
68,AMAD88101,AMAD,1988,1.0,UK,1988-03-22,1988-04-10,,0
69,AMAD88102,AMAD,1988,1.0,Canada,1988-03-23,1988-04-15,,0
70,BARU88102,BARU,1988,1.0,USA,1988-04-25,1988-05-07,,0
71,BARU88101,BARU,1988,1.0,Australia,1988-04-20,1988-05-10,,1
72,CHAM88101,CHAM,1988,1.0,Netherlands,1988-04-17,1988-05-10,,0
73,KUSU88101,KUSU,1988,1.0,Czechoslovakia,1988-04-10,1988-04-23,,0
74,LSHR88101,LSHR,1988,1.0,Spain,1988-04-02,1988-05-12,,0
75,CHOY88102,CHOY,1988,1.0,Switzerland,1988-04-07,1988-04-29,,0
76,CHOY88105,CHOY,1988,1.0,USA,1988-04-27,1988-05-08,,0
77,CHOY88104,CHOY,1988,1.0,W Germany,1988-04-20,1988-05-10,1500,0
78,CHOY88101,CHOY,1988,1.0,UK,1988-04-03,1988-04-30,1700,0
79,CHOY88103,CHOY,1988,1.0,Italy,1988-04-14,1988-05-01,1600,0
80,CHOY88106,CHOY,1988,1.0,W Germany,1988-05-25,1988-05-30,,0
81,KTEG88101,KTEG,1988,1.0,Japan,1988-04-06,1988-04-13,,0
82,PUMO88101,PUMO,1988,1.0,USA,1988-04-04,1988-04-18,,0
83,PUMO88102,PUMO,1988,1.0,Indonesia,1988-04-06,1988-04-26,1800,0
84,TAWO88101,TAWO,1988,1.0,UK,1988-04-05,1988-04-15,,0
85,ANNS88101,ANNS,1988,1.0,USA,1988-04-05,1988-05-07,,0
86,ANN188101,ANN1,1988,1.0,France,1988-04-10,1988-05-10,0930,0
87,ANN188102,ANN1,1988,1.0,Mexico,,,,0
88,CHRE88101,CHRE,1988,1.0,S Korea,1988-03-27,1988-05-07,1020,0
89,GAN288101,GAN2,1988,1.0,UK,1988-03-23,1988-04-08,,0
90,MANA88101,MANA,1988,1.0,Poland,1988-03-07,1988-03-09,,0
91,MANA88103,MANA,1988,1.0,Italy,1988-04-04,1988-05-01,,0
92,MANA88102,MANA,1988,1.0,Switzerland,1988-04-03,1988-05-01,1320,0
93,PUTH88101,PUTH,1988,1.0,USA,1988-04-09,1988-05-01,,0
94,CTSE88101,CTSE,1988,1.0,UK,,,,1
95,AMAD88401,AMAD,1988,4.0,S Korea,1988-11-27,1988-12-16,1250,0
96,AMAD88402,AMAD,1988,4.0,France,1988-11-29,1988-12-04,,0
97,ANN188401,ANN1,1988,4.0,Bulgaria,1988-11-07,1988-12-14,,0
98,CHOY88401,CHOY,1988,4.0,Japan,1989-01-15,1989-01-16,,0
99,NEMJ88401,NEMJ,1988,4.0,Japan,1988-11-19,1988-12-17,,0
100,LANG88401,LANG,1988,4.0,Japan,1988-11-24,1988-12-11,1420,0
101,TAWO88401,TAWO,1988,4.0,USA,1989-01-25,1989-02-15,,0
102,THAM88401,THAM,1988,4.0,USA,1988-12-01,1988-12-12,,0
103,YALU88401,YALU,1988,4.0,Poland,1989-01-08,1989-02-09,,0
104,CTSE88201,CTSE,1988,2.0,Italy,1988-07-25,1988-08-09,,0
105,CHOY88201,CHOY,1988,2.0,France,1988-08-24,1988-09-01,1000,0
106,EVER88401,EVER,1988,4.0,Belgium,1988-11-10,1988-12-22,,1
107,LHOT88401,LHOT,1988,4.0,Belgium,1988-11-10,1988-12-31,1400,1
108,EVER88402,EVER,1988,4.0,S Korea,1988-12-08,1989-01-10,,0
109,LANR83301,LANR,1983,3.0,Japan,1983-09-10,1983-10-09,1220,0
110,DHA183301,DHA1,1983,3.0,Japan,1983-09-27,1983-11-03,,0
111,DHA183303,DHA1,1983,3.0,France,1983-11-08,1983-11-11,1400,0
112,DHA183302,DHA1,1983,3.0,France,1983-10-01,1983-10-23,,0
113,NEMJ83301,NEMJ,1983,3.0,Japan,1983-09-14,1983-10-27,1605,0
114,HIME83301,HIME,1983,3.0,Japan,1983-09-15,1983-09-30,,0
115,KGUR83301,KGUR,1983,3.0,Japan,1983-09-30,1983-10-19,,1
116,MAKA83302,MAKA,1983,3.0,Japan,1983-09-05,1983-09-22,,0
117,MAKA83301,MAKA,1983,3.0,New Zealand,1983-08-30,1983-10-14,,0
118,NILN83301,NILN,1983,3.0,Australia,1983-10-08,1983-10-24,,1
119,ANN383302,ANN3,1983,3.0,Australia,1983-09-22,1983-10-22,,0
120,ANN383301,ANN3,1983,3.0,UK,1983-09-05,1983-10-08,,0
121,DHA683301,DHA6,1983,3.0,Canada,1983-09-14,1983-10-11,1300,0
122,LSHR83301,LSHR,1983,3.0,Canada,1983-09-04,1983-10-21,,0
123,MANA83302,MANA,1983,3.0,S Korea,1983-09-14,1983-10-22,1530,0
124,MANA83301,MANA,1983,3.0,Austria,1983-09-12,1983-10-07,,0
125,ANN183301,ANN1,1983,3.0,S Korea,1983-08-31,1983-09-11,,0
126,ANN183302,ANN1,1983,3.0,Italy,1983-09-12,1983-10-08,,0
127,ANN183303,ANN1,1983,3.0,Yugoslavia,1983-09-27,1983-10-22,,0
128,CHOY83301,CHOY,1983,3.0,Italy,1983-09-12,1983-10-05,,0
129,CHOY83302,CHOY,1983,3.0,Japan,1983-09-18,1983-10-16,,0
130,NUMB83301,NUMB,1983,3.0,Spain,1983-10-05,1983-10-16,,0
131,CHRW83301,CHRW,1983,3.0,W Germany,1983-09-24,1983-10-10,,0
132,GAUR83301,GAUR,1983,3.0,Yugoslavia,1983-10-02,1983-11-01,,0
133,GAN383301,GAN3,1983,3.0,Poland,1983-10-06,1983-10-23,,0
134,GAN483301,GAN4,1983,3.0,USA,1983-10-07,1983-10-21,,0
135,KTEG83301,KTEG,1983,3.0,USA,1983-10-04,1983-10-18,,0
136,AMAD83301,AMAD,1983,3.0,Switzerland,1983-10-08,1983-10-22,,0
137,AMAD83302,AMAD,1983,3.0,France,1983-10-27,1983-11-05,,0
138,CHOB83301,CHOB,1983,3.0,Austria,1983-09-29,1983-10-08,,0
139,GLAC83302,GLAC,1983,3.0,Poland,,,,0
140,GLAC83301,GLAC,1983,3.0,Austria,1983-10-14,1983-10-22,1600,0
141,KANG83301,KANG,1983,3.0,Switzerland,1983-09-10,1983-10-21,1720,0
142,KANG83302,KANG,1983,3.0,France,1983-09-15,1983-10-17,1500,0
143,BARU83302,BARU,1983,3.0,France,1983-09-22,1983-10-11,,0
144,BARU83301,BARU,1983,3.0,France,1983-10-02,1983-10-15,7057,0
145,MAK283301,MAK2,1983,3.0,France,1983-09-10,1983-09-28,1400,0
146,TUKU83301,TUKU,1983,3.0,France,,,,0
147,GANG83302,GANG,1983,3.0,Yugoslavia,1983-10-08,1983-10-27,1240,0
148,GANG83301,GANG,1983,3.0,USA,1983-10-01,1983-10-06,,0
149,AMAD83401,AMAD,1983,4.0,S Korea,1983-11-28,1983-12-05,1150,0
150,ANN183401,ANN1,1983,4.0,Japan,1983-11-27,1983-12-18,,0
151,KGUR83401,KGUR,1983,4.0,Japan,1983-12-05,1983-12-18,1415,0
152,NUMB83401,NUMB,1983,4.0,Japan,1983-11-23,1983-12-11,,0
153,TILI83401,TILI,1983,4.0,S Korea,1983-11-26,1983-12-11,1030,0
154,APIM83401,APIM,1983,4.0,Poland,1983-12-10,1983-12-24,1800,0
155,MANA83402,MANA,1983,4.0,Poland,1983-12-02,1984-01-12,1055,0
156,MAKA85101,MAKA,1985,1.0,France,1985-04-11,1985-05-10,,0
157,CHOY85103,CHOY,1985,1.0,Spain,1985-04-19,1985-05-15,1315,0
158,DHA185101,DHA1,1985,1.0,USA,1985-03-21,1985-04-24,,0
159,TUKU85101,TUKU,1985,1.0,S Korea,1985-03-02,1985-03-12,1430,0
160,PUMO85102,PUMO,1985,1.0,Spain,1985-04-19,1985-05-09,1600,0
161,MAK285101,MAK2,1985,1.0,France,1985-04-01,1985-04-22,1245,0
162,HIME85101,HIME,1985,1.0,Hungary,1985-04-25,1985-05-23,,0
163,AMAD85101,AMAD,1985,1.0,Italy,1985-04-08,1985-04-23,,0
164,LSHR85101,LSHR,1985,1.0,S Korea,1985-05-10,1985-05-29,,0
165,GURJ85102,GURJ,1985,1.0,Romania,1985-05-08,1985-05-17,1100,0
166,KANG85101,KANG,1985,1.0,USA,1985-04-06,1985-05-13,,1
167,ANN185101,ANN1,1985,1.0,Italy,1985-04-09,1985-04-24,,0
168,DHA185102,DHA1,1985,1.0,Italy,1985-05-12,1985-05-15,1200,0
169,CHOY85101,CHOY,1985,1.0,Poland,1985-04-15,1985-05-28,,1
170,NGOJ85101,NGOJ,1985,1.0,Poland,1985-04-15,1985-05-22,1500,0
171,NILN85101,NILN,1985,1.0,Poland,1985-04-25,1985-05-19,,0
172,ANN385101,ANN3,1985,1.0,Nepal,1985-04-03,1985-05-04,1500,0
173,ANNS85101,ANNS,1985,1.0,Italy,1985-04-14,1985-04-21,,0
174,CHOL85101,CHOL,1985,1.0,Japan,1985-04-17,1985-04-19,,0
175,AMAD85102,AMAD,1985,1.0,Japan,1985-04-28,1985-05-02,1020,0
176,TAWO85101,TAWO,1985,1.0,Japan,1985-04-17,1985-04-24,1220,0
177,YALU85101,YALU,1985,1.0,Yugoslavia,1985-03-25,1985-04-22,1630,1
178,OHMI85101,OHMI,1985,1.0,Switzerland,1985-03-23,1985-04-14,1215,0
179,GAUR85101,GAUR,1985,1.0,Japan,1985-04-09,1985-05-02,,0
180,GURJ85101,GURJ,1985,1.0,Japan,1985-04-04,1985-04-29,1345,1
181,CHOY85102,CHOY,1985,1.0,China,1985-04-15,1985-05-01,1535,1
182,PUMO85101,PUMO,1985,1.0,Austria,1985-04-07,1985-04-21,,0
183,CHOB85101,CHOB,1985,1.0,New Zealand,1985-04-04,1985-05-10,0830,0
184,MANA85101,MANA,1985,1.0,Austria,1985-04-07,1985-05-01,1500,0
185,GAN185301,GAN1,1985,3.0,S Korea,1985-10-29,1985-11-11,,0
186,HIMN85302,HIMN,1985,3.0,S Korea,1985-10-02,1985-10-27,,0
187,AMAD85302,AMAD,1985,3.0,USA,1985-10-21,1985-11-07,,0
188,KUSU85301,KUSU,1985,3.0,USA,,1985-11-08,,0
189,MANA85301,MANA,1985,3.0,Spain,1985-09-12,1985-10-03,,0
190,TUKU85301,TUKU,1985,3.0,S Korea,1985-08-27,1985-09-04,0740,0
191,DHA185301,DHA1,1985,3.0,Czechoslovakia,1985-09-08,1985-10-25,,0
192,BARU85301,BARU,1985,3.0,W Germany,1985-10-25,1985-11-01,,0
193,MANN85301,MANN,1985,3.0,W Germany,1985-10-26,1985-10-27,,1
194,KAG185301,KAG1,1985,3.0,Netherlands,1985-10-18,1985-10-22,,0
195,SAIP85301,SAIP,1985,3.0,Spain,1985-09-26,1985-10-22,1300,0
196,ANNS85301,ANNS,1985,3.0,Greece,1985-09-18,1985-10-22,,0
197,MAK285302,MAK2,1985,3.0,France,1985-10-16,1985-11-02,,0
198,THAM85302,THAM,1985,3.0,France,1985-10-11,1985-10-30,1200,0
199,GANG85302,GANG,1985,3.0,UK,1985-10-05,1985-10-28,,0
200,ANN185301,ANN1,1985,3.0,Japan,1985-09-01,1985-10-03,,0
201,ANNS85302,ANNS,1985,3.0,W Germany,1985-09-25,1985-10-22,,0
202,KGUR85301,KGUR,1985,3.0,Austria,1985-10-17,1985-10-22,,0
203,AMAD85301,AMAD,1985,3.0,Italy,1985-10-06,1985-10-30,,0
204,BARU85302,BARU,1985,3.0,France,,,,0
205,MANA85303,MANA,1985,3.0,Japan,1985-09-22,1985-10-22,,0
206,KIRA85301,KIRA,1985,3.0,UK,1985-09-25,1985-10-15,,0
207,MAK285301,MAK2,1985,3.0,Netherlands,1985-09-23,1985-10-11,1100,0
208,CHOY85301,CHOY,1985,3.0,Japan,1985-09-21,1985-10-03,1350,0
209,GAUR85301,GAUR,1985,3.0,S Korea,1985-10-04,1985-10-31,,0
210,LANG85301,LANG,1985,3.0,USA,1985-10-05,1985-10-16,,0
211,MANA85302,MANA,1985,3.0,Japan,1985-09-15,1985-10-09,,0
212,DHA285301,DHA2,1985,3.0,Japan,1985-09-24,1985-10-21,,0
213,LSIS85301,LSIS,1985,3.0,Japan,1985-09-27,1985-10-19,,0
214,DORJ85301,DORJ,1985,3.0,Japan,1985-09-11,1985-10-03,1350,0
215,HIMW85301,HIMW,1985,3.0,USA,1985-10-04,1985-10-07,,0
216,GAN485301,GAN4,1985,3.0,Poland,1985-10-22,,,0
217,HIMN85301,HIMN,1985,3.0,Poland,1985-09-28,1985-11-01,1025,0
218,GANG85301,GANG,1985,3.0,Poland,1985-09-20,1985-10-23,,0
219,MAKA85301,MAKA,1985,3.0,Italy,1985-08-31,1985-10-01,1800,0
220,NILS85301,NILS,1985,3.0,Japan,1985-09-12,1985-10-26,,0
221,ANN385301,ANN3,1985,3.0,UK,1985-10-05,,,0
222,DHA185303,DHA1,1985,3.0,Yugoslavia,1985-09-18,1985-10-27,,0
223,KANC85301,KANC,1985,3.0,Spain,1985-10-05,1985-10-09,,0
224,ANN185302,ANN1,1985,3.0,Switzerland,1985-09-19,1985-10-25,,0
225,DHA185302,DHA1,1985,3.0,Austria,1985-09-15,1985-09-24,,0
226,TILI85301,TILI,1985,3.0,Spain,1985-10-05,1985-10-26,,0
227,NILN85301,NILN,1985,3.0,Poland,1985-10-21,1985-11-12,,0
228,HIME85301,HIME,1985,3.0,Japan,1985-08-30,1985-10-16,1100,1
229,GAUR85401,GAUR,1985,4.0,S Korea,1985-12-16,1986-01-16,,0
230,AMAD85401,AMAD,1985,4.0,USA,1985-11-20,1985-12-07,1000,0
231,ANN185401,ANN1,1985,4.0,Bulgaria,1985-11-10,1986-01-25,,0
232,CHOY85401,CHOY,1985,4.0,Canada,1985-11-26,1985-12-05,,0
233,MAKA85401,MAKA,1985,4.0,Japan,1985-11-21,1985-12-23,,0
234,KTEG85401,KTEG,1985,4.0,S Korea,1985-12-04,1985-12-31,,0
235,KARY85401,KARY,1985,4.0,S Korea,1986-01-08,1986-01-25,,0
236,MANA85401,MANA,1985,4.0,Japan,1985-12-05,1985-12-14,1140,0
237,MAKA85402,MAKA,1985,4.0,Italy,1986-01-16,1986-02-09,,0
238,AMAD85402,AMAD,1985,4.0,New Zealand,1985-11-27,1985-12-11,,0
239,KANG85401,KANG,1985,4.0,Poland,1985-12-09,1986-01-11,1330,0
240,DHA185401,DHA1,1985,4.0,Switzerland,1985-11-16,1985-12-08,1324,0
241,PUMO86402,PUMO,1986,4.0,USA,1986-11-25,1986-12-05,1115,0
242,NUPT86401,NUPT,1986,4.0,USA,1986-12-05,1986-12-31,,0
243,MAKA86401,MAKA,1986,4.0,Japan,1986-11-16,1986-12-09,,0
244,PUMO86401,PUMO,1986,4.0,Japan,1986-11-24,1986-12-03,,0
245,LOBW86401,LOBW,1986,4.0,S Korea,1987-01-27,1987-01-30,1250,0
246,AMAD86401,AMAD,1986,4.0,France,1986-11-23,1986-12-10,,0
247,NEMJ87101,NEMJ,1987,1.0,USA,1987-04-11,1987-04-22,,0
248,MAKA87102,MAKA,1987,1.0,USA,1987-04-03,1987-05-12,1115,1
249,CHOY87103,CHOY,1987,1.0,USA,1987-04-12,1987-04-30,,0
250,CHAM87101,CHAM,1987,1.0,USA,1987-04-19,1987-05-02,,0
251,JANU87101,JANU,1987,1.0,USA,1987-04-06,1987-04-27,,0
252,CHOY87101,CHOY,1987,1.0,Chile,1987-04-03,1987-04-29,1300,0
253,ANN187102,ANN1,1987,1.0,Spain,1987-05-03,1987-05-23,,0
254,PUMO87101,PUMO,1987,1.0,Netherlands,1987-05-05,1987-05-07,,0
255,LSHR87102,LSHR,1987,1.0,France,1987-04-12,1987-05-20,0930,0
256,GANG87101,GANG,1987,1.0,Iceland,1987-04-10,1987-04-28,,0
257,AMAD87102,AMAD,1987,1.0,Greece,1987-04-01,1987-04-17,2000,0
258,DHA187101,DHA1,1987,1.0,Japan,1987-03-30,1987-05-10,,1
259,CHOY87102,CHOY,1987,1.0,Austria,1987-04-11,1987-04-29,1305,0
260,KANG87101,KANG,1987,1.0,France,1987-04-05,1987-04-24,,0
261,MAK287101,MAK2,1987,1.0,Switzerland,1987-04-15,1987-04-29,,0
262,CHRE87101,CHRE,1987,1.0,S Korea,1987-04-08,1987-05-11,,0
263,TILI87101,TILI,1987,1.0,Spain,1987-03-28,1987-04-08,,0
264,ANN187101,ANN1,1987,1.0,New Zealand,1987-04-01,1987-04-05,,0
265,MAKA87101,MAKA,1987,1.0,Netherlands,1987-03-22,1987-05-04,,0
266,AMAD87101,AMAD,1987,1.0,USA,1987-03-27,1987-04-17,2000,0
267,MANA87102,MANA,1987,1.0,Poland,1987-04-16,1987-05-20,,0
268,MANA87101,MANA,1987,1.0,Spain,1987-04-03,1987-04-08,,0
269,LSHR87101,LSHR,1987,1.0,Yugoslavia,1987-03-14,1987-04-20,,0
270,LANR87101,LANR,1987,1.0,Japan,1987-03-23,1987-04-17,,0
271,CHOY87303,CHOY,1987,3.0,France,1987-09-09,1987-09-23,,0
272,TILI87301,TILI,1987,3.0,Switzerland,1987-10-03,1987-10-05,,0
273,LEON87301,LEON,1987,3.0,S Korea,1987-09-03,1987-09-27,0815,0
274,AMAD87302,AMAD,1987,3.0,USA,1987-09-23,1987-10-17,,0
275,CHOY87304,CHOY,1987,3.0,USA,1987-09-19,1987-11-02,,0
276,NUPT87302,NUPT,1987,3.0,USA,1987-10-03,1987-10-12,,0
277,KANG87301,KANG,1987,3.0,Australia,1987-08-30,1987-10-10,,0
278,AMAD87301,AMAD,1987,3.0,UK,1987-09-17,1987-09-30,,0
279,DHA187302,DHA1,1987,3.0,USA,1987-09-09,1987-10-16,,0
280,AMAD87303,AMAD,1987,3.0,UK,1987-10-14,1987-10-17,,0
281,ANNS87301,ANNS,1987,3.0,France,1987-10-26,1987-11-12,,0
282,MANA87302,MANA,1987,3.0,Japan,1987-09-30,1987-10-27,,1
283,TAWO87301,TAWO,1987,3.0,UK,1987-09-14,1987-10-02,,0
284,AMAD87304,AMAD,1987,3.0,Bulgaria,1987-10-14,1987-10-23,,0
285,DHA587301,DHA5,1987,3.0,Spain,1987-09-21,1987-10-06,,0
286,JANU87303,JANU,1987,3.0,France,1987-10-21,1987-11-06,,0
287,DHA187301,DHA1,1987,3.0,Japan,1987-09-03,1987-10-06,,0
288,CHOY87306,CHOY,1987,3.0,W Germany,1987-10-10,1987-10-23,,0
289,PUMO87303,PUMO,1987,3.0,W Germany,1987-10-16,1987-10-24,,0
290,PUMO87301,PUMO,1987,3.0,Japan,1987-09-15,1987-10-12,,0
291,DHA187304,DHA1,1987,3.0,Japan,1987-09-29,1987-10-02,,0
292,GAN587301,GAN5,1987,3.0,Japan,1987-09-09,1987-10-04,1330,0
293,CHOY87301,CHOY,1987,3.0,Japan,1987-09-01,1987-09-20,1215,1
294,KJRS87301,KJRS,1987,3.0,USA,,,,0
295,KHAT87301,KHAT,1987,3.0,Switzerland,1987-09-28,1987-10-14,,1
296,LSIS87301,LSIS,1987,3.0,Poland,1987-10-09,1987-10-24,,0
297,LSHR87302,LSHR,1987,3.0,UK,1987-08-28,1987-09-27,,0
298,LSHR87301,LSHR,1987,3.0,Spain,1987-08-19,1987-09-29,,0
299,JANU87301,JANU,1987,3.0,Netherlands,1987-09-18,1987-10-11,0630,0
300,NUPT87301,NUPT,1987,3.0,Italy,1987-09-16,1987-10-10,,0
301,CHOY87305,CHOY,1987,3.0,Poland,1987-09-27,1987-09-30,,0
302,PUMO87302,PUMO,1987,3.0,France,1987-10-15,1987-10-25,1230,0
303,MAK287301,MAK2,1987,3.0,France,1987-09-30,1987-10-13,,1
304,SAIP87301,SAIP,1987,3.0,Austria,1987-10-17,1987-10-20,,0
305,SITA87301,SITA,1987,3.0,France,1987-10-22,1987-10-29,,0
306,TUKU87301,TUKU,1987,3.0,Spain,1987-09-20,1987-10-04,,0
307,DHA187303,DHA1,1987,3.0,Spain,1987-09-12,1987-10-13,,0
308,CHOY87302,CHOY,1987,3.0,Switzerland,1987-09-08,1987-09-20,,0
309,ANN187301,ANN1,1987,3.0,Spain,1987-09-08,1987-10-08,,0
310,MANA87301,MANA,1987,3.0,Austria,1987-09-10,1987-10-07,1200,0
311,ANN187302,ANN1,1987,3.0,Spain,1987-09-24,1987-10-11,1300,0
312,NGO287301,NGO2,1987,3.0,Yugoslavia,1987-10-08,1987-11-11,,0
313,KANG87401,KANG,1987,4.0,S Korea,1987-12-08,1988-01-02,1710,1
314,NGOJ87401,NGOJ,1987,4.0,S Korea,1988-01-21,1988-02-11,1630,0
315,ANN187401,ANN1,1987,4.0,Canada,1987-11-20,1987-12-10,,0
316,AMAD87401,AMAD,1987,4.0,USA,1987-11-18,1987-11-23,1200,0
317,DHA187401,DHA1,1987,4.0,France,1987-11-15,1987-12-02,1230,1
318,CHOY87401,CHOY,1987,4.0,Spain,1988-01-10,1988-02-06,1800,0
319,ANNS87401,ANNS,1987,4.0,Japan,1987-11-30,1987-12-21,,0
320,ANN187403,ANN1,1987,4.0,Japan,1987-11-23,1987-12-20,1515,0
321,LANG87401,LANG,1987,4.0,Poland,1987-12-10,1988-01-03,1340,0
322,MAKA87401,MAKA,1987,4.0,Poland,1987-12-08,1988-01-20,,0
323,DHA187402,DHA1,1987,4.0,Yugoslavia,1987-11-27,1987-12-04,1700,1
324,ANN187402,ANN1,1987,4.0,Japan,1987-11-22,1987-12-05,,0
325,DHA189304,DHA1,1989,3.0,Spain,1989-09-17,1989-09-26,,0
326,DHA189301,DHA1,1989,3.0,Spain,1989-08-27,1989-10-09,,0
327,DHA189302,DHA1,1989,3.0,Spain,1989-09-06,1989-09-21,,0
328,DHA189303,DHA1,1989,3.0,France,1989-09-11,1989-09-25,,1
329,DHA189305,DHA1,1989,3.0,France,1989-09-17,1989-09-24,,0
330,DHA189306,DHA1,1989,3.0,France,1989-10-12,1989-11-14,,0
331,CHUR89301,CHUR,1989,3.0,UK,1989-10-01,1989-10-26,1225,0
332,DHAM89301,DHAM,1989,3.0,Japan,1989-10-13,1989-10-15,1523,0
333,GURJ89301,GURJ,1989,3.0,France,1989-10-17,1989-10-30,,0
334,KAND89301,KAND,1989,3.0,UK,1989-10-18,1989-10-28,,0
335,KJER89301,KJER,1989,3.0,France,1989-09-25,1989-09-30,,0
